6,9AM,5PM,19MFF-00130,1219 07TH AVE,1377262,,09:00,17:00,358000,07/28/2011 03:59:50 PM,07/28/2011 04:00:09 PM,1743,3,N,37.765588472761700,-122.46434127652900
4,10AM,11AM,19MFF-00130,617 BRYANT ST,1377261,,10:00,11:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,55,N,37.779203613561500,-122.39842170074900
2,9AM,3PM,19MFF-00025,111 BATTERY ST,1330245,,09:00,15:00,2753000,09/21/2011 12:40:44 PM,09/21/2011 12:41:16 PM,261,5,N,37.792368864643700,-122.39985626842500
3,9AM,3PM,19MFF-00025,200 LARKIN ST,1330246,,09:00,15:00,8122000,06/07/2011 02:59:25 PM,06/07/2011 02:59:49 PM,353,1,N,37.779619722638400,-122.41670515446500
4,10AM,3PM,19MFF-00026,475 CALIFORNIA ST,1331430,,10:00,15:00,3529000,08/26/2016 01:17:30 PM,08/26/2016 01:19:08 PM,260,10,N,37.792846595133200,-122.40236649693900
6,10AM,3PM,19MFF-00026,475 CALIFORNIA ST,1331430,,10:00,15:00,3529000,08/26/2016 01:17:30 PM,08/26/2016 01:19:08 PM,260,10,N,37.792846595133200,-122.40236649693900
2,10AM,3PM,19MFF-00026,475 CALIFORNIA ST,1331430,,10:00,15:00,3529000,08/26/2016 01:17:30 PM,08/26/2016 01:19:08 PM,260,10,N,37.792846595133200,-122.40236649693900
5,10AM,12PM,19MFF-00130,501 02ND ST,1377259,,10:00,12:00,142000,07/28/2011 02:29:06 PM,07/28/2011 02:29:24 PM,3774,67,N,37.783108842973800,-122.39355933746000
5,9AM,11AM,19MFF-00130,501 BEALE ST,1377260,,09:00,11:00,2868000,07/28/2011 03:49:42 PM,07/28/2011 03:50:38 PM,3771,4,N,37.786235585849800,-122.38955386959700
3,9AM,11AM,19MFF-00130,501 BEALE ST,1377260,,09:00,11:00,2868000,07/28/2011 03:49:42 PM,07/28/2011 03:50:38 PM,3771,4,N,37.786235585849800,-122.38955386959700
1,9AM,11AM,19MFF-00130,501 BEALE ST,1377260,,09:00,11:00,2868000,07/28/2011 03:49:42 PM,07/28/2011 03:50:38 PM,3771,4,N,37.786235585849800,-122.38955386959700
1,10AM,11AM,19MFF-00130,617 BRYANT ST,1377261,,10:00,11:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,55,N,37.779203613561500,-122.39842170074900
3,7AM,7PM,19MFF-00130,999 DIVISADERO ST,1377263,,07:00,19:00,4806101,07/28/2011 03:48:34 PM,07/28/2011 03:49:12 PM,1156,34,N,37.778714701469000,-122.43862952870500
2,10AM,11AM,19MFF-00130,617 BRYANT ST,1377261,,10:00,11:00,3285000,07/28/2011 03:45:54 PM,07/28/2011 03:46:19 PM,3777,55,N,37.779203613561500,-122.39842170074900
4,9AM,11AM,19MFF-00130,501 BEALE ST,1377260,,09:00,11:00,2868000,07/28/2011 03:49:42 PM,07/28/2011 03:50:38 PM,3771,4,N,37.786235585849800,-122.38955386959700
3,10AM,12PM,19MFF-00130,501 02ND ST,1377259,,10:00,12:00,142000,07/28/2011 02:29:06 PM,07/28/2011 02:29:24 PM,3774,67,N,37.783108842973800,-122.39355933746000
3,10AM,3PM,19MFF-00130,290 TOWNSEND ST,1377257,,10:00,15:00,12662000,07/28/2011 02:28:19 PM,07/28/2011 02:28:35 PM,3787,28,N,37.77730002627590,-122.39481278479900
5,7AM,7PM,19MFF-00130,999 DIVISADERO ST,1377263,,07:00,19:00,4806101,07/28/2011 03:48:34 PM,07/28/2011 03:49:12 PM,1156,34,N,37.778714701469000,-122.43862952870500
5,12PM,10PM,19MFF-00130,490 BRANNAN ST,1389608,,12:00,22:00,3079000,01/07/2020 11:06:26 AM,01/07/2020 11:07:18 AM,3776,25,N,37.778520535067900,-122.39638361029900
4,12PM,10PM,19MFF-00130,490 BRANNAN ST,1389608,,12:00,22:00,3079000,01/07/2020 11:06:26 AM,01/07/2020 11:07:18 AM,3776,25,N,37.778520535067900,-122.39638361029900
1,12PM,10PM,19MFF-00130,490 BRANNAN ST,1389608,,12:00,22:00,3079000,01/07/2020 11:06:26 AM,01/07/2020 11:07:18 AM,3776,25,N,37.778520535067900,-122.39638361029900
2,12PM,10PM,19MFF-00130,490 BRANNAN ST,1389608,,12:00,22:00,3079000,01/07/2020 11:06:26 AM,01/07/2020 11:07:18 AM,3776,25,N,37.778520535067900,-122.39638361029900
3,12PM,10PM,19MFF-00130,490 BRANNAN ST,1389608,,12:00,22:00,3079000,01/07/2020 11:06:26 AM,01/07/2020 11:07:18 AM,3776,25,N,37.778520535067900,-122.39638361029900
5,6PM,11PM,19MFF-00067,281 GEARY ST,1337055,,18:00,23:00,6109000,04/27/2018 09:32:40 AM,01/29/2020 11:41:23 AM,314,13,N,37.787347325398400,-122.40788403450400
4,6AM,4PM,19MFF-00058,556 SUTTER ST,1336887,,06:00,16:00,12323000,08/21/2014 08:23:08 AM,08/21/2014 08:23:32 AM,284,9,N,37.78916114986870,-122.40954029477800
5,10AM,11AM,19MFF-00061,2145 MARKET ST,1336965,,10:00,11:00,8764101,05/12/2011 08:15:29 AM,10/24/2011 04:39:00 PM,3543,003B,Y,37.766712422593400,-122.42971274952500
1,10AM,11AM,19MFF-00061,1477 GROVE ST,1336963,,10:00,11:00,6565000,05/12/2011 07:55:50 AM,05/12/2011 07:56:16 AM,1200,15,Y,37.775500790207900,-122.44089299009000
3,11AM,12PM,19MFF-00061,401 23RD ST,1336960,,11:00,12:00,1232000,05/12/2011 08:27:13 AM,05/12/2011 08:27:36 AM,4232,10,Y,37.755519731943500,-122.38499993738300
1,11AM,12PM,19MFF-00061,401 23RD ST,1336960,,11:00,12:00,1232000,05/12/2011 08:27:13 AM,05/12/2011 08:27:36 AM,4232,10,Y,37.755519731943500,-122.38499993738300
3,10AM,11AM,19MFF-00061,2145 MARKET ST,1336965,,10:00,11:00,8764101,05/12/2011 08:15:29 AM,10/24/2011 04:39:00 PM,3543,003B,Y,37.766712422593400,-122.42971274952500
